,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Year
152,Yadier Molina,STL,C,38,113,419,45,113,24,0,10,57,6,0,23,58,0,5,5,0.27,0.312,0.39899999999999997,0.711,2019
153,Brandon Drury,TOR,3B,28,120,418,43,91,21,1,15,41,0,1,25,113,0,3,1,0.218,0.262,0.38,0.642,2019
154,Teoscar Hernandez,TOR,OF,28,125,417,58,96,19,2,26,65,6,3,45,153,0,1,1,0.23,0.306,0.47200000000000003,0.778,2019
155,Brian Dozier,WAS,2B,33,135,416,54,99,20,0,20,50,3,4,61,105,0,1,4,0.23800000000000002,0.34,0.43,0.77,2019
156,Matt Carpenter,STL,3B,34,129,416,59,94,20,2,15,46,6,1,63,129,1,5,7,0.226,0.33399999999999996,0.392,0.726,2019
157,Adalberto Mondesi,KC,SS,25,102,415,58,109,20,10,9,62,43,7,19,132,3,6,0,0.263,0.29100000000000004,0.424,0.715,2019
158,Enrique Hernandez,LAD,2B,29,130,414,57,98,19,1,17,64,4,0,36,97,0,4,6,0.237,0.304,0.41100000000000003,0.715,2019
159,Nick Markakis,ATL,OF,36,116,414,61,118,25,2,9,62,2,0,47,59,0,6,2,0.285,0.35600000000000004,0.42,0.7759999999999999,2019
161,Brian Goodwin,LAA,OF,30,136,413,65,108,29,3,17,47,7,3,38,129,1,3,3,0.262,0.326,0.47,0.7959999999999999,2019
162,Ji-Man Choi,TB,1B,29,127,410,54,107,20,2,19,63,2,3,64,108,0,7,6,0.261,0.363,0.45899999999999996,0.8220000000000001,2019
164,J.D. Davis,NYM,3B,27,140,410,65,126,22,1,22,57,3,0,38,97,0,2,3,0.307,0.369,0.527,0.8959999999999999,2019
165,Buster Posey,SF,C,33,114,405,43,104,24,0,7,38,0,0,34,71,1,1,4,0.257,0.32,0.368,0.688,2019
167,Jarrod Dyson,ARI,OF,36,130,400,65,92,11,2,7,27,30,4,47,86,1,2,2,0.23,0.313,0.32,0.633,2019
168,Andrelton Simmons,LAA,SS,31,103,398,47,105,19,0,7,40,10,2,24,37,0,0,2,0.264,0.309,0.364,0.6729999999999999,2019
169,Manuel Margot,SD,OF,26,151,398,59,93,19,3,12,37,20,4,38,88,3,0,2,0.23399999999999999,0.304,0.387,0.691,2019
170,Gary Sanchez,NYY,C,27,106,396,62,92,12,1,34,77,0,1,40,125,0,1,9,0.23199999999999998,0.316,0.525,0.841,2019
171,Eric Thames,MIL,1B,33,149,396,67,98,23,2,25,61,3,2,51,140,0,2,10,0.247,0.34600000000000003,0.505,0.851,2019
172,Dee Strange-Gordon,SEA,2B,32,117,393,36,108,12,6,3,34,22,5,18,61,3,6,1,0.275,0.304,0.359,0.6629999999999999,2019
173,Kyle Seager,SEA,3B,33,106,393,55,94,19,1,23,63,2,2,44,86,0,2,4,0.239,0.321,0.46799999999999997,0.789,2019
174,Brandon Dixon,DET,1B,28,118,391,41,97,20,4,15,52,5,1,21,136,0,4,4,0.248,0.29,0.435,0.725,2019
175,Robinson Cano,NYM,2B,38,107,390,46,100,28,0,13,39,0,0,25,69,0,3,5,0.256,0.307,0.428,0.735,2019
176,Roberto Perez,CLE,C,31,119,389,46,93,9,1,24,63,0,0,45,127,7,4,4,0.239,0.321,0.452,0.773,2019
177,Maikel Franco,PHI,3B,28,123,389,48,91,17,0,17,56,0,0,36,61,0,3,0,0.23399999999999999,0.297,0.409,0.706,2019
178,Shohei Ohtani,LAA,P,26,106,384,51,110,20,5,18,62,12,3,33,110,0,4,2,0.28600000000000003,0.34299999999999997,0.505,0.848,2019
179,David Peralta,ARI,OF,33,99,382,48,105,29,3,12,57,0,0,35,87,0,1,5,0.275,0.34299999999999997,0.461,0.804,2019
180,Garrett Cooper,MIA,1B,29,107,381,52,107,16,1,15,50,0,0,33,110,0,2,5,0.281,0.344,0.446,0.79,2019
181,Anthony Santander,BAL,OF,26,93,380,46,99,20,1,20,59,1,2,19,86,1,3,2,0.261,0.297,0.47600000000000003,0.773,2019
182,Miguel Sano,MIN,3B,27,105,380,76,94,19,2,34,79,0,1,55,159,0,1,3,0.247,0.34600000000000003,0.5760000000000001,0.922,2019
183,Nicky Lopez,KC,2B,25,103,379,44,91,22,2,2,30,1,1,18,51,4,0,1,0.24,0.276,0.325,0.601,2019
184,Melky Cabrera,PIT,OF,36,133,378,43,106,22,1,7,47,2,0,17,41,1,0,1,0.28,0.313,0.39899999999999997,0.7120000000000001,2019
185,Aaron Judge,NYY,OF,28,102,378,75,103,18,1,27,55,3,2,64,141,0,1,3,0.272,0.381,0.54,0.9209999999999999,2019
186,Jose Peraza,CIN,2B,26,141,376,37,90,18,2,6,33,7,6,17,58,0,2,8,0.239,0.285,0.34600000000000003,0.631,2019
187,Nick Senzel,CIN,OF,25,104,375,55,96,20,4,12,42,14,5,30,101,0,1,3,0.256,0.315,0.42700000000000005,0.742,2019
188,David Dahl,COL,OF,26,100,374,67,113,28,5,15,61,4,4,28,110,2,5,4,0.302,0.353,0.524,0.877,2019
