Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Jay Bruce,CIN,OF,33,148,509,80,143,23,5,25,70,5,4,58,136,0,5,1,0.281,0.353,0.493,0.846
Nyjer Morgan,WAS,OF,40,136,509,60,129,17,7,0,24,34,17,40,88,15,3,10,0.253,0.319,0.314,0.633
Cliff Pennington,OAK,2B,36,156,508,64,127,26,8,6,46,29,5,50,96,12,3,3,0.25,0.319,0.368,0.687
Andres Torres,SF,OF,42,139,507,84,136,43,8,16,63,26,7,56,128,5,0,2,0.268,0.343,0.479,0.822
Alcides Escobar,MIL,SS,33,145,506,57,119,14,10,4,41,10,4,36,70,4,3,3,0.235,0.288,0.326,0.614
Mark Reynolds,ARI,1B,37,145,499,79,99,17,2,32,85,7,4,83,211,0,5,9,0.198,0.32,0.433,0.753
Orlando Hudson,MIN,2B,42,126,497,80,133,24,5,6,37,10,3,50,87,5,3,4,0.268,0.338,0.372,0.71
Alfonso Soriano,CHC,OF,44,147,496,67,128,40,3,24,79,5,1,45,123,1,3,3,0.258,0.322,0.496,0.818
Kurt Suzuki,OAK,C,37,131,495,55,120,18,2,13,71,3,2,33,49,0,4,12,0.242,0.303,0.366,0.669
Justin Upton,ARI,OF,33,133,495,73,135,27,3,17,69,18,8,64,152,1,7,4,0.273,0.356,0.442,0.798
Orlando Cabrera,CIN,SS,46,123,494,64,130,33,0,4,42,11,4,28,53,5,7,3,0.263,0.303,0.354,0.657
Victor Martinez,BOS,DH,41,127,493,64,149,32,1,20,79,1,0,40,52,0,5,0,0.302,0.351,0.493,0.844
Carlos Pena,TB,1B,42,144,484,64,95,18,0,28,84,5,1,87,158,0,4,7,0.196,0.325,0.407,0.732
Hideki Matsui,LAA,OF,46,145,482,55,132,24,1,21,84,0,1,67,98,0,4,1,0.274,0.361,0.459,0.82
Brian McCann,ATL,C,36,143,479,63,129,25,0,21,77,5,2,74,98,0,4,9,0.269,0.375,0.453,0.828
J.D. Drew,BOS,OF,44,139,478,69,122,24,2,22,68,3,1,60,105,0,4,4,0.255,0.341,0.452,0.793
Brett Gardner,NYY,OF,37,150,477,97,132,20,7,5,47,47,9,79,101,5,3,5,0.277,0.383,0.379,0.762
Skip Schumaker,STL,OF,40,137,476,66,126,18,1,5,42,5,3,43,64,2,4,4,0.265,0.328,0.338,0.666
